token,bucket,gate_a,degraded,plan_idx,n_feasible,pair,noc_total_flip,ttc_total_flip,kendall_tau_b,enter_main
0008e2e718e15240,collision,True,False,2709,2416,replay_vs_idm,0,0,1.0,True
0008e2e718e15240,collision,True,False,2709,2416,replay_vs_nexus,67,45,0.9829846638511531,True
0008e2e718e15240,collision,True,False,2709,2416,idm_vs_nexus,67,45,0.9829846638511531,True
028a2f461cfe5f1c,collision,True,False,5680,2487,replay_vs_idm,0,0,1.0,True
028a2f461cfe5f1c,collision,True,False,5680,2487,replay_vs_nexus,105,105,0.9678821400705974,True
028a2f461cfe5f1c,collision,True,False,5680,2487,idm_vs_nexus,105,105,0.9678821400705974,True
031a7e846efb505b,collision,False,True,710,3103,replay_vs_idm,,,,False
031a7e846efb505b,collision,False,True,710,3103,replay_vs_nexus,,,,False
031a7e846efb505b,collision,False,True,710,3103,idm_vs_nexus,,,,False
26bf0f9e0f245afe,collision,True,False,201,3175,replay_vs_idm,0,4,0.9995705887022877,True
26bf0f9e0f245afe,collision,True,False,201,3175,replay_vs_nexus,141,132,0.9436249671933765,True
26bf0f9e0f245afe,collision,True,False,201,3175,idm_vs_nexus,141,136,0.9432219374214647,True
0aff3a7c4652586c,collision,True,False,5063,2929,replay_vs_idm,0,0,1.0,True
0aff3a7c4652586c,collision,True,False,5063,2929,replay_vs_nexus,31,40,0.9944637203560793,True
0aff3a7c4652586c,collision,True,False,5063,2929,idm_vs_nexus,31,40,0.9944637203560793,True
38e8a4b341b7575c,ep,True,False,1804,2428,replay_vs_idm,0,0,1.0,True
38e8a4b341b7575c,ep,True,False,1804,2428,replay_vs_nexus,1311,1355,0.5296000698958359,True
38e8a4b341b7575c,ep,True,False,1804,2428,idm_vs_nexus,1311,1355,0.5296000698958359,True
1ecef78a8bb85ddd,ep,False,True,4523,1330,replay_vs_idm,,,,False
1ecef78a8bb85ddd,ep,False,True,4523,1330,replay_vs_nexus,,,,False
1ecef78a8bb85ddd,ep,False,True,4523,1330,idm_vs_nexus,,,,False
0a6c2c37c5335ad2,ep,False,True,4477,2706,replay_vs_idm,,,,False
0a6c2c37c5335ad2,ep,False,True,4477,2706,replay_vs_nexus,,,,False
0a6c2c37c5335ad2,ep,False,True,4477,2706,idm_vs_nexus,,,,False
1836fa024ead5671,ep,True,False,1842,2044,replay_vs_idm,0,0,1.0,True
1836fa024ead5671,ep,True,False,1842,2044,replay_vs_nexus,5,2,0.9986020968334369,True
1836fa024ead5671,ep,True,False,1842,2044,idm_vs_nexus,5,2,0.9986020968334369,True
49218363cc6b530f,ep,True,False,898,2757,replay_vs_idm,0,0,1.0,True
49218363cc6b530f,ep,True,False,898,2757,replay_vs_nexus,1,0,1.0,True
49218363cc6b530f,ep,True,False,898,2757,idm_vs_nexus,1,0,1.0,True
