token,bucket,from_le10,reuse_from_le10,gate_a,degraded,plan_idx,pair,noc_total_flip,ttc_total_flip,kendall_tau_b
0008e2e718e15240,collision,True,True,True,False,2709,replay_vs_idm,0,0,1.0
0008e2e718e15240,collision,True,True,True,False,2709,replay_vs_nexus,67,45,0.9829846638511531
0008e2e718e15240,collision,True,True,True,False,2709,idm_vs_nexus,67,45,0.9829846638511531
028a2f461cfe5f1c,collision,True,True,True,False,5680,replay_vs_idm,0,0,1.0
028a2f461cfe5f1c,collision,True,True,True,False,5680,replay_vs_nexus,105,105,0.9678821400705974
028a2f461cfe5f1c,collision,True,True,True,False,5680,idm_vs_nexus,105,105,0.9678821400705974
031a7e846efb505b,collision,True,False,False,True,710,replay_vs_idm,,,
031a7e846efb505b,collision,True,False,False,True,710,replay_vs_nexus,,,
031a7e846efb505b,collision,True,False,False,True,710,idm_vs_nexus,,,
26bf0f9e0f245afe,collision,True,True,True,False,201,replay_vs_idm,0,4,0.9995705887022877
26bf0f9e0f245afe,collision,True,True,True,False,201,replay_vs_nexus,141,132,0.9436249671933765
26bf0f9e0f245afe,collision,True,True,True,False,201,idm_vs_nexus,141,136,0.9432219374214647
0aff3a7c4652586c,collision,True,True,True,False,5063,replay_vs_idm,0,0,1.0
0aff3a7c4652586c,collision,True,True,True,False,5063,replay_vs_nexus,31,40,0.9944637203560793
0aff3a7c4652586c,collision,True,True,True,False,5063,idm_vs_nexus,31,40,0.9944637203560793
40dea91a29fd5e6c,collision,False,False,False,True,8150,replay_vs_idm,0,9,0.9998515009005366
40dea91a29fd5e6c,collision,False,False,False,True,8150,replay_vs_nexus,2483,2436,nan
40dea91a29fd5e6c,collision,False,False,False,True,8150,idm_vs_nexus,2483,2445,nan
06767db02fb25a07,collision,False,False,False,True,2357,replay_vs_idm,,,
06767db02fb25a07,collision,False,False,False,True,2357,replay_vs_nexus,,,
06767db02fb25a07,collision,False,False,False,True,2357,idm_vs_nexus,,,
153106fff89b5e7b,collision,False,False,False,True,4610,replay_vs_idm,,,
153106fff89b5e7b,collision,False,False,False,True,4610,replay_vs_nexus,,,
153106fff89b5e7b,collision,False,False,False,True,4610,idm_vs_nexus,,,
02a4563606ae5a9d,collision,False,False,False,True,7248,replay_vs_idm,,,
02a4563606ae5a9d,collision,False,False,False,True,7248,replay_vs_nexus,,,
02a4563606ae5a9d,collision,False,False,False,True,7248,idm_vs_nexus,,,
08c0eb09b63b5e0f,collision,False,False,False,True,7855,replay_vs_idm,,,
08c0eb09b63b5e0f,collision,False,False,False,True,7855,replay_vs_nexus,,,
08c0eb09b63b5e0f,collision,False,False,False,True,7855,idm_vs_nexus,,,
2e8f657222765e4f,collision,False,False,False,True,4986,replay_vs_idm,44,48,0.9879980067539632
2e8f657222765e4f,collision,False,False,False,True,4986,replay_vs_nexus,170,127,0.9613413699211114
2e8f657222765e4f,collision,False,False,False,True,4986,idm_vs_nexus,214,175,0.9496666983061648
416ff2910bc253e8,collision,False,False,True,False,2615,replay_vs_idm,0,0,1.0
416ff2910bc253e8,collision,False,False,True,False,2615,replay_vs_nexus,100,50,0.9826987727852664
416ff2910bc253e8,collision,False,False,True,False,2615,idm_vs_nexus,100,50,0.9826987727852664
03a4d87fa15e5043,collision,False,False,False,True,2331,replay_vs_idm,,,
03a4d87fa15e5043,collision,False,False,False,True,2331,replay_vs_nexus,,,
03a4d87fa15e5043,collision,False,False,False,True,2331,idm_vs_nexus,,,
61a68d58ad285312,collision,False,False,False,True,4995,replay_vs_idm,93,94,0.9705462741309113
